trainable params: 2,785,280 || all params: 9,402,736,640 || trainable%: 0.0296
train_dataset: Dataset({
    features: ['input_ids', 'labels'],
    num_rows: 1
})
val_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 2
})
test_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 2
})
{'loss': 0.1384, 'grad_norm': 0.061767578125, 'learning_rate': 0.0004983333333333334, 'epoch': 10.0}
{'loss': 0.0002, 'grad_norm': 0.0032806396484375, 'learning_rate': 0.0004966666666666666, 'epoch': 20.0}
{'loss': 0.0, 'grad_norm': 0.000911712646484375, 'learning_rate': 0.000495, 'epoch': 30.0}
{'loss': 0.0, 'grad_norm': 0.000568389892578125, 'learning_rate': 0.0004933333333333334, 'epoch': 40.0}
{'loss': 0.0, 'grad_norm': 0.0003719329833984375, 'learning_rate': 0.0004916666666666666, 'epoch': 50.0}
{'loss': 0.0, 'grad_norm': 0.000339508056640625, 'learning_rate': 0.00049, 'epoch': 60.0}
{'loss': 0.0, 'grad_norm': 0.0003108978271484375, 'learning_rate': 0.0004883333333333333, 'epoch': 70.0}
{'loss': 0.0, 'grad_norm': 0.000278472900390625, 'learning_rate': 0.0004866666666666667, 'epoch': 80.0}
{'loss': 0.0, 'grad_norm': 0.0002765655517578125, 'learning_rate': 0.00048499999999999997, 'epoch': 90.0}
{'loss': 0.0, 'grad_norm': 0.00024318695068359375, 'learning_rate': 0.00048333333333333334, 'epoch': 100.0}
{'loss': 0.0, 'grad_norm': 0.00023174285888671875, 'learning_rate': 0.0004816666666666667, 'epoch': 110.0}
{'loss': 0.0, 'grad_norm': 0.00022602081298828125, 'learning_rate': 0.00048, 'epoch': 120.0}
{'loss': 0.0, 'grad_norm': 0.00022411346435546875, 'learning_rate': 0.0004783333333333333, 'epoch': 130.0}
{'loss': 0.0, 'grad_norm': 0.0001983642578125, 'learning_rate': 0.0004766666666666667, 'epoch': 140.0}
{'loss': 0.0, 'grad_norm': 0.0002002716064453125, 'learning_rate': 0.000475, 'epoch': 150.0}
{'loss': 0.0, 'grad_norm': 0.00019073486328125, 'learning_rate': 0.00047333333333333336, 'epoch': 160.0}
{'loss': 0.0, 'grad_norm': 0.00018310546875, 'learning_rate': 0.0004716666666666667, 'epoch': 170.0}
{'loss': 0.0, 'grad_norm': 0.00018024444580078125, 'learning_rate': 0.00047, 'epoch': 180.0}
{'loss': 0.0, 'grad_norm': 0.0001735687255859375, 'learning_rate': 0.00046833333333333335, 'epoch': 190.0}
{'loss': 0.0, 'grad_norm': 0.0001678466796875, 'learning_rate': 0.00046666666666666666, 'epoch': 200.0}
{'loss': 0.0, 'grad_norm': 0.0001678466796875, 'learning_rate': 0.000465, 'epoch': 210.0}
{'loss': 0.0, 'grad_norm': 0.00015735626220703125, 'learning_rate': 0.00046333333333333334, 'epoch': 220.0}
{'loss': 0.0, 'grad_norm': 0.0001506805419921875, 'learning_rate': 0.0004616666666666667, 'epoch': 230.0}
{'loss': 0.0, 'grad_norm': 0.000141143798828125, 'learning_rate': 0.00046, 'epoch': 240.0}
{'loss': 0.0, 'grad_norm': 0.00014591217041015625, 'learning_rate': 0.0004583333333333333, 'epoch': 250.0}
{'loss': 0.0, 'grad_norm': 0.0001468658447265625, 'learning_rate': 0.0004566666666666667, 'epoch': 260.0}
{'loss': 0.0, 'grad_norm': 0.00014209747314453125, 'learning_rate': 0.000455, 'epoch': 270.0}
{'loss': 0.0, 'grad_norm': 0.00013256072998046875, 'learning_rate': 0.0004533333333333333, 'epoch': 280.0}
{'loss': 0.0, 'grad_norm': 0.00013256072998046875, 'learning_rate': 0.0004516666666666667, 'epoch': 290.0}
{'loss': 0.0, 'grad_norm': 0.00013446807861328125, 'learning_rate': 0.00045000000000000004, 'epoch': 300.0}
{'loss': 0.0, 'grad_norm': 0.00013065338134765625, 'learning_rate': 0.0004483333333333333, 'epoch': 310.0}
{'loss': 0.0, 'grad_norm': 0.0001239776611328125, 'learning_rate': 0.00044666666666666666, 'epoch': 320.0}
{'loss': 0.0, 'grad_norm': 0.00012493133544921875, 'learning_rate': 0.00044500000000000003, 'epoch': 330.0}
{'loss': 0.0, 'grad_norm': 0.0001239776611328125, 'learning_rate': 0.00044333333333333334, 'epoch': 340.0}
{'loss': 0.0, 'grad_norm': 0.00011205673217773438, 'learning_rate': 0.00044166666666666665, 'epoch': 350.0}
{'loss': 0.0, 'grad_norm': 0.00012063980102539062, 'learning_rate': 0.00044, 'epoch': 360.0}
{'loss': 0.0, 'grad_norm': 0.00011205673217773438, 'learning_rate': 0.0004383333333333334, 'epoch': 370.0}
{'loss': 0.0, 'grad_norm': 0.00011014938354492188, 'learning_rate': 0.00043666666666666664, 'epoch': 380.0}
{'loss': 0.0, 'grad_norm': 0.00011301040649414062, 'learning_rate': 0.000435, 'epoch': 390.0}
{'loss': 0.0, 'grad_norm': 0.00011205673217773438, 'learning_rate': 0.00043333333333333337, 'epoch': 400.0}
{'loss': 0.0, 'grad_norm': 0.0001087188720703125, 'learning_rate': 0.0004316666666666667, 'epoch': 410.0}
{'loss': 0.0, 'grad_norm': 0.00011014938354492188, 'learning_rate': 0.00043, 'epoch': 420.0}
{'loss': 0.0, 'grad_norm': 0.000110626220703125, 'learning_rate': 0.00042833333333333335, 'epoch': 430.0}
{'loss': 0.0, 'grad_norm': 0.0001049041748046875, 'learning_rate': 0.0004266666666666667, 'epoch': 440.0}
{'loss': 0.0, 'grad_norm': 0.0001068115234375, 'learning_rate': 0.000425, 'epoch': 450.0}
{'loss': 0.0, 'grad_norm': 0.00010347366333007812, 'learning_rate': 0.00042333333333333334, 'epoch': 460.0}
{'loss': 0.0, 'grad_norm': 0.00010013580322265625, 'learning_rate': 0.0004216666666666667, 'epoch': 470.0}
{'loss': 0.0, 'grad_norm': 0.00010156631469726562, 'learning_rate': 0.00042, 'epoch': 480.0}
{'loss': 0.0, 'grad_norm': 9.775161743164062e-05, 'learning_rate': 0.00041833333333333333, 'epoch': 490.0}
{'loss': 0.0, 'grad_norm': 9.489059448242188e-05, 'learning_rate': 0.0004166666666666667, 'epoch': 500.0}
{'eval_rouge-1': 74.05525, 'eval_rouge-2': 65.71430000000001, 'eval_rouge-l': 21.14645, 'eval_bleu-4': 0.10916169823156022, 'eval_runtime': 15.0293, 'eval_samples_per_second': 0.133, 'eval_steps_per_second': 0.067, 'epoch': 500.0}
{'loss': 0.0, 'grad_norm': 9.679794311523438e-05, 'learning_rate': 0.000415, 'epoch': 510.0}
{'loss': 0.0, 'grad_norm': 0.00010013580322265625, 'learning_rate': 0.0004133333333333333, 'epoch': 520.0}
{'loss': 0.0, 'grad_norm': 9.584426879882812e-05, 'learning_rate': 0.0004116666666666667, 'epoch': 530.0}
{'loss': 0.0, 'grad_norm': 9.679794311523438e-05, 'learning_rate': 0.00041, 'epoch': 540.0}
{'loss': 0.0, 'grad_norm': 9.441375732421875e-05, 'learning_rate': 0.00040833333333333336, 'epoch': 550.0}
{'loss': 0.0, 'grad_norm': 9.679794311523438e-05, 'learning_rate': 0.00040666666666666667, 'epoch': 560.0}
{'loss': 0.0, 'grad_norm': 8.96453857421875e-05, 'learning_rate': 0.00040500000000000003, 'epoch': 570.0}
{'loss': 0.0, 'grad_norm': 9.1552734375e-05, 'learning_rate': 0.00040333333333333334, 'epoch': 580.0}
{'loss': 0.0, 'grad_norm': 9.202957153320312e-05, 'learning_rate': 0.00040166666666666665, 'epoch': 590.0}
{'loss': 0.0, 'grad_norm': 9.107589721679688e-05, 'learning_rate': 0.0004, 'epoch': 600.0}
{'loss': 0.0, 'grad_norm': 9.1552734375e-05, 'learning_rate': 0.00039833333333333333, 'epoch': 610.0}
{'loss': 0.0, 'grad_norm': 9.202957153320312e-05, 'learning_rate': 0.0003966666666666667, 'epoch': 620.0}
{'loss': 0.0, 'grad_norm': 8.916854858398438e-05, 'learning_rate': 0.000395, 'epoch': 630.0}
{'loss': 0.0, 'grad_norm': 9.012222290039062e-05, 'learning_rate': 0.0003933333333333333, 'epoch': 640.0}
{'loss': 0.0, 'grad_norm': 8.821487426757812e-05, 'learning_rate': 0.0003916666666666667, 'epoch': 650.0}
{'loss': 0.0, 'grad_norm': 8.344650268554688e-05, 'learning_rate': 0.00039000000000000005, 'epoch': 660.0}
{'loss': 0.0, 'grad_norm': 8.726119995117188e-05, 'learning_rate': 0.0003883333333333333, 'epoch': 670.0}
{'loss': 0.0, 'grad_norm': 9.107589721679688e-05, 'learning_rate': 0.00038666666666666667, 'epoch': 680.0}
{'loss': 0.0, 'grad_norm': 9.584426879882812e-05, 'learning_rate': 0.00038500000000000003, 'epoch': 690.0}
{'loss': 0.0, 'grad_norm': 9.202957153320312e-05, 'learning_rate': 0.00038333333333333334, 'epoch': 700.0}
{'loss': 0.0, 'grad_norm': 8.630752563476562e-05, 'learning_rate': 0.00038166666666666666, 'epoch': 710.0}
{'loss': 0.0, 'grad_norm': 8.58306884765625e-05, 'learning_rate': 0.00038, 'epoch': 720.0}
{'loss': 0.0, 'grad_norm': 8.916854858398438e-05, 'learning_rate': 0.0003783333333333334, 'epoch': 730.0}
{'loss': 0.0, 'grad_norm': 8.58306884765625e-05, 'learning_rate': 0.00037666666666666664, 'epoch': 740.0}
{'loss': 0.0, 'grad_norm': 8.7738037109375e-05, 'learning_rate': 0.000375, 'epoch': 750.0}
{'loss': 0.0, 'grad_norm': 8.535385131835938e-05, 'learning_rate': 0.0003733333333333334, 'epoch': 760.0}
{'loss': 0.0, 'grad_norm': 8.344650268554688e-05, 'learning_rate': 0.00037166666666666663, 'epoch': 770.0}
{'loss': 0.0, 'grad_norm': 8.869171142578125e-05, 'learning_rate': 0.00037, 'epoch': 780.0}
{'loss': 0.0, 'grad_norm': 8.296966552734375e-05, 'learning_rate': 0.00036833333333333336, 'epoch': 790.0}
{'loss': 0.0, 'grad_norm': 8.487701416015625e-05, 'learning_rate': 0.00036666666666666667, 'epoch': 800.0}
{'loss': 0.0, 'grad_norm': 8.392333984375e-05, 'learning_rate': 0.000365, 'epoch': 810.0}
{'loss': 0.0, 'grad_norm': 8.726119995117188e-05, 'learning_rate': 0.00036333333333333335, 'epoch': 820.0}
{'loss': 0.0, 'grad_norm': 8.7738037109375e-05, 'learning_rate': 0.0003616666666666667, 'epoch': 830.0}
{'loss': 0.0, 'grad_norm': 8.96453857421875e-05, 'learning_rate': 0.00035999999999999997, 'epoch': 840.0}
{'loss': 0.0, 'grad_norm': 8.916854858398438e-05, 'learning_rate': 0.00035833333333333333, 'epoch': 850.0}
{'loss': 0.0, 'grad_norm': 8.440017700195312e-05, 'learning_rate': 0.0003566666666666667, 'epoch': 860.0}
{'loss': 0.0, 'grad_norm': 8.821487426757812e-05, 'learning_rate': 0.000355, 'epoch': 870.0}
{'loss': 0.0, 'grad_norm': 8.726119995117188e-05, 'learning_rate': 0.0003533333333333333, 'epoch': 880.0}
{'loss': 0.0, 'grad_norm': 8.678436279296875e-05, 'learning_rate': 0.0003516666666666667, 'epoch': 890.0}
{'loss': 0.0, 'grad_norm': 8.296966552734375e-05, 'learning_rate': 0.00035, 'epoch': 900.0}
{'loss': 0.0, 'grad_norm': 8.440017700195312e-05, 'learning_rate': 0.00034833333333333336, 'epoch': 910.0}
{'loss': 0.0, 'grad_norm': 8.487701416015625e-05, 'learning_rate': 0.00034666666666666667, 'epoch': 920.0}
{'loss': 0.0, 'grad_norm': 8.869171142578125e-05, 'learning_rate': 0.000345, 'epoch': 930.0}
{'loss': 0.0, 'grad_norm': 8.821487426757812e-05, 'learning_rate': 0.00034333333333333335, 'epoch': 940.0}
{'loss': 0.0, 'grad_norm': 8.487701416015625e-05, 'learning_rate': 0.00034166666666666666, 'epoch': 950.0}
{'loss': 0.0, 'grad_norm': 8.344650268554688e-05, 'learning_rate': 0.00034, 'epoch': 960.0}
{'loss': 0.0, 'grad_norm': 8.58306884765625e-05, 'learning_rate': 0.00033833333333333334, 'epoch': 970.0}
{'loss': 0.0, 'grad_norm': 8.678436279296875e-05, 'learning_rate': 0.0003366666666666667, 'epoch': 980.0}
{'loss': 0.0, 'grad_norm': 8.487701416015625e-05, 'learning_rate': 0.000335, 'epoch': 990.0}
{'loss': 0.0, 'grad_norm': 8.20159912109375e-05, 'learning_rate': 0.0003333333333333333, 'epoch': 1000.0}
{'eval_rouge-1': 74.05525, 'eval_rouge-2': 65.71430000000001, 'eval_rouge-l': 21.14645, 'eval_bleu-4': 0.10916169823156022, 'eval_runtime': 14.3513, 'eval_samples_per_second': 0.139, 'eval_steps_per_second': 0.07, 'epoch': 1000.0}
{'loss': 0.0, 'grad_norm': 8.869171142578125e-05, 'learning_rate': 0.0003316666666666667, 'epoch': 1010.0}
{'loss': 0.0, 'grad_norm': 8.249282836914062e-05, 'learning_rate': 0.00033, 'epoch': 1020.0}
{'loss': 0.0, 'grad_norm': 8.344650268554688e-05, 'learning_rate': 0.0003283333333333333, 'epoch': 1030.0}
{'loss': 0.0, 'grad_norm': 8.535385131835938e-05, 'learning_rate': 0.0003266666666666667, 'epoch': 1040.0}
{'loss': 0.0, 'grad_norm': 8.296966552734375e-05, 'learning_rate': 0.00032500000000000004, 'epoch': 1050.0}
{'loss': 0.0, 'grad_norm': 9.202957153320312e-05, 'learning_rate': 0.0003233333333333333, 'epoch': 1060.0}
{'loss': 0.0, 'grad_norm': 8.487701416015625e-05, 'learning_rate': 0.00032166666666666666, 'epoch': 1070.0}
{'loss': 0.0, 'grad_norm': 8.916854858398438e-05, 'learning_rate': 0.00032, 'epoch': 1080.0}
{'loss': 0.0, 'grad_norm': 8.440017700195312e-05, 'learning_rate': 0.00031833333333333334, 'epoch': 1090.0}
{'loss': 0.0, 'grad_norm': 8.96453857421875e-05, 'learning_rate': 0.00031666666666666665, 'epoch': 1100.0}
{'loss': 0.0, 'grad_norm': 8.106231689453125e-05, 'learning_rate': 0.000315, 'epoch': 1110.0}
{'loss': 0.0, 'grad_norm': 8.869171142578125e-05, 'learning_rate': 0.0003133333333333334, 'epoch': 1120.0}
{'loss': 0.0, 'grad_norm': 8.392333984375e-05, 'learning_rate': 0.00031166666666666663, 'epoch': 1130.0}
{'loss': 0.0, 'grad_norm': 8.630752563476562e-05, 'learning_rate': 0.00031, 'epoch': 1140.0}
